RQ-03_研究任务 | 1.3 | gap-answered-in-verdict | 109 | 按 GRADE 为低确定性 | 问题要求长期用药有效性证据体的GRADE确定性等级，该行明确给出低确定性。
RQ-18_研究任务 | 1.3 | answer-not-responsive | 127 | 运动诱发胸痛伴以下任一警示特征时应直接呼叫 120 接受急诊评估 | 该条目问三类临床情境与说明书适应症范围的关系及注册记录逐条可追溯出处，而该行仅列出警示特征并建议急诊评估，未涉及适应症范围与溯源。
RQ-15_研究任务 | 2.3 | gap-answered-in-verdict | 21 | 目前只到达第一层 | 2.3 问现有证据落在哪一层级，而摘要结论已明确回答“目前只到达第一层”。
RQ-15_研究任务 | 2.4 | gap-answered-in-verdict | 123 | 基础冠心病、体位性低血压、合并硝酸酯与降压药物、心律失常、焦虑、贫血与低血糖等竞争性解释 | 2.4 问竞争性替代解释有哪些，而结论段已逐项列出这些替代解释。
RQ-15_研究任务 | 2.7 | gap-answered-in-verdict | 123 | 现有证据仅为时间关联 | 2.7 问如何在结论中表达“服药后出现”与“由服药引起”的差别，而结论段已用“现有证据仅为时间关联”来限定这一差别。
RQ-23_研究任务 | 4.2 | false-gap | 12 | 纳入 174 例对长效硝酸酯不耐受的慢性冠脉综合征（CCS）患者的安慰剂对照试验报告 | 该条目问对照研究的人群、给药时长、对照、终点与效应量，该行已给出CCS人群、4周给药、安慰剂对照及主要终点有效率，属于证据答案。
RQ-23_研究任务 | 5.2 | gap-answered-in-verdict | 109 | 当用药者与购买者分离（异地代购、无本人在场诊断）时，处方药情形所要求的处方前提不再满足；无气滞血瘀型冠心病心绞痛诊断者， | 该条目问用药者与购买者分离时哪些条件不再满足，该行在结论中直接回答了处方前提不再满足、无证型不默认适用。
RQ-23_研究任务 | 1.3 | gap-answered-in-verdict | 17 | 购买量由分类属性决定：处方药情形由处方者按诊断与用量开具，非处方药情形由购买者自决 | 该条目问文本中购买数量由谁决定，该行在摘要结论中直接回答由分类属性决定，处方药由处方者、非处方药由购买者。
RQ-23_研究任务 | 3.2 | answer-not-responsive | 17 | 法规对单次购买数量不设上限，购买量由分类属性决定：处方药情形由处方者按诊断与用量开具，非处方药情形由购买者自决 | 该条目问每次粒数、每日次数、急性发作追加剂量和发作频次，该行给的却是单次购买数量由谁决定，未回答用量参数。
RQ-25_研究任务 | 3.2 | answer-not-responsive | 73 | 药品的可及性由分类属性与渠道规则决定，而适宜性由诊断与辨证等专业环节决定，彼此没有内容上的交集。 | 该问要求说明医疗机构调配、实体药店零售及乙类非处方药院外销售的具体前置条件，而该行只泛称可及性由分类属性与渠道规则决定，未列出任何具体条件。
RQ-25_研究任务 | 3.4 | answer-not-responsive | 73 | 药品的可及性由分类属性与渠道规则决定 | 该问要求区分哪些要求取决于分类属性本身、哪些取决于销售主体或渠道形态，而该行只给出可及性受分类属性与渠道规则决定的一般陈述，未涉及具体规定。
