分组,类别,名称,机构,语言,地区,读法,梯队,出口,每周条数,提供什么,本机核查,生产机核查,防护,入口地址,备用入口,备注,id
一、临床证据：期刊、文献流与预印本,专科顶刊,卒中 Stroke,Lippincott Williams & Wilkins,en,INT,Crossref + PubMed,P0,直连,6,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0039-2499/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0039-2499[is]+OR+1524-4628[is]),"ISSN 0039-2499, 1524-4628；近 30 天 Crossref 45 篇、PubMed 45 篇；Crossref 自带摘要：是",j-0039-2499
一、临床证据：期刊、文献流与预印本,专科顶刊,柳叶刀-精神病学,Elsevier BV,en,INT,Crossref + PubMed,P0,直连,1,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2215-0366/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2215-0366[is]+OR+2215-0374[is]),"ISSN 2215-0366, 2215-0374；近 30 天 Crossref 16 篇、PubMed 16 篇；Crossref 自带摘要：否",j-2215-0366
一、临床证据：期刊、文献流与预印本,专科顶刊,JAMA 精神病学,American Medical Association,en,INT,Crossref + PubMed,P0,直连,6,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2168-622X/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2168-622X[is]+OR+2168-6238[is]),"ISSN 2168-622X, 2168-6238；近 30 天 Crossref 16 篇、PubMed 15 篇；Crossref 自带摘要：是",j-2168-622x
一、临床证据：期刊、文献流与预印本,专科顶刊,World Psychiatry,Wiley,en,INT,Crossref + PubMed,P0,直连,38,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/1723-8617/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(1723-8617[is]+OR+2051-5545[is]),"ISSN 1723-8617, 2051-5545；近 30 天 Crossref 0 篇、PubMed 38 篇；Crossref 自带摘要：否",j-1723-8617
一、临床证据：期刊、文献流与预印本,专科顶刊,柳叶刀-感染病学,Elsevier BV,en,INT,Crossref + PubMed,P0,直连,3,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/1473-3099/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(1473-3099[is]+OR+1474-4457[is]),"ISSN 1473-3099, 1474-4457；近 30 天 Crossref 25 篇、PubMed 23 篇；Crossref 自带摘要：否",j-1473-3099
一、临床证据：期刊、文献流与预印本,专科顶刊,临床感染病 CID,Oxford University Press,en,INT,Crossref + PubMed,P0,直连,13,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/1058-4838/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(1058-4838[is]+OR+1537-6591[is]),"ISSN 1058-4838, 1537-6591；近 30 天 Crossref 41 篇、PubMed 54 篇；Crossref 自带摘要：是",j-1058-4838
一、临床证据：期刊、文献流与预印本,专科顶刊,柳叶刀-微生物,Elsevier BV,en,INT,Crossref + PubMed,P0,直连,8,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2666-5247/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2666-5247[is]),ISSN 2666-5247；近 30 天 Crossref 22 篇、PubMed 21 篇；Crossref 自带摘要：否,j-2666-5247
一、临床证据：期刊、文献流与预印本,专科顶刊,柳叶刀-HIV,Elsevier BV,en,INT,Crossref + PubMed,P0,直连,1,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2352-3018/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2352-3018[is]+OR+2405-4704[is]),"ISSN 2352-3018, 2405-4704；近 30 天 Crossref 13 篇、PubMed 13 篇；Crossref 自带摘要：否",j-2352-3018
一、临床证据：期刊、文献流与预印本,专科顶刊,柳叶刀-呼吸医学,Elsevier BV,en,INT,Crossref + PubMed,P0,直连,7,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2213-2600/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2213-2600[is]+OR+2213-2619[is]),"ISSN 2213-2600, 2213-2619；近 30 天 Crossref 22 篇、PubMed 22 篇；Crossref 自带摘要：否",j-2213-2600
一、临床证据：期刊、文献流与预印本,专科顶刊,美国呼吸与危重症医学杂志 AJRCCM,American Thoracic Society,en,INT,Crossref + PubMed,P0,直连,22,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/1073-449X/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(1073-449X[is]+OR+1535-4970[is]),"ISSN 1073-449X, 1535-4970；近 30 天 Crossref 24 篇、PubMed 44 篇；Crossref 自带摘要：否",j-1073-449x
一、临床证据：期刊、文献流与预印本,专科顶刊,CHEST,,en,INT,Crossref + PubMed,P0,直连,11,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0012-3692/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0012-3692[is]+OR+1931-3543[is]),"ISSN 0012-3692, 1931-3543；近 30 天 Crossref 57 篇、PubMed 53 篇；Crossref 自带摘要：否",j-0012-3692
一、临床证据：期刊、文献流与预印本,专科顶刊,重症医学 ICM,Springer Science+Business Media,en,INT,Crossref + PubMed,P0,直连,0,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0342-4642/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0342-4642[is]+OR+1432-1238[is]),"ISSN 0342-4642, 1432-1238；近 30 天 Crossref 12 篇、PubMed 12 篇；Crossref 自带摘要：否",j-0342-4642
一、临床证据：期刊、文献流与预印本,专科顶刊,Critical Care,BioMed Central,en,INT,Crossref + PubMed,P0,直连,14,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/1364-8535/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(1364-8535[is]+OR+1466-609X[is]+OR+1574-4280[is]+OR+1875-7081[is]),"ISSN 1364-8535, 1466-609X, 1574-4280, 1875-7081；近 30 天 Crossref 58 篇、PubMed 32 篇；Crossref 自带摘要：否",j-1364-8535
一、临床证据：期刊、文献流与预印本,专科顶刊,胃肠病学 Gastroenterology,Elsevier BV,en,INT,Crossref + PubMed,P0,直连,13,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0016-5085/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0016-5085[is]+OR+1528-0012[is]),"ISSN 0016-5085, 1528-0012；近 30 天 Crossref 35 篇、PubMed 28 篇；Crossref 自带摘要：否",j-0016-5085
一、临床证据：期刊、文献流与预印本,专科顶刊,Gut,BMJ,en,INT,Crossref + PubMed,P0,直连,10,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0017-5749/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0017-5749[is]+OR+1468-3288[is]),"ISSN 0017-5749, 1468-3288；近 30 天 Crossref 34 篇、PubMed 34 篇；Crossref 自带摘要：是",j-0017-5749
一、临床证据：期刊、文献流与预印本,专科顶刊,柳叶刀-胃肠病学与肝病学,,en,INT,Crossref + PubMed,P0,直连,2,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2468-1253/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2468-1253[is]+OR+2468-1156[is]),"ISSN 2468-1253, 2468-1156；近 30 天 Crossref 13 篇、PubMed 13 篇；Crossref 自带摘要：否",j-2468-1253
一、临床证据：期刊、文献流与预印本,专科顶刊,肝病学杂志 J Hepatol,Elsevier BV,en,INT,Crossref + PubMed,P0,直连,10,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0168-8278/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0168-8278[is]+OR+1600-0641[is]),"ISSN 0168-8278, 1600-0641；近 30 天 Crossref 34 篇、PubMed 32 篇；Crossref 自带摘要：否",j-0168-8278
一、临床证据：期刊、文献流与预印本,专科顶刊,肝病学 Hepatology,Lippincott Williams & Wilkins,en,INT,Crossref + PubMed,P0,直连,5,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0270-9139/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0270-9139[is]+OR+1527-3350[is]),"ISSN 0270-9139, 1527-3350；近 30 天 Crossref 14 篇、PubMed 14 篇；Crossref 自带摘要：是",j-0270-9139
一、临床证据：期刊、文献流与预印本,专科顶刊,美国肾脏病学会杂志 JASN,American Society of Nephrology,en,INT,Crossref + PubMed,P0,直连,8,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/1046-6673/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(1046-6673[is]+OR+1533-3450[is]),"ISSN 1046-6673, 1533-3450；近 30 天 Crossref 28 篇、PubMed 26 篇；Crossref 自带摘要：否",j-1046-6673
一、临床证据：期刊、文献流与预印本,专科顶刊,Kidney International,Elsevier BV,en,INT,Crossref + PubMed,P0,直连,33,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0085-2538/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0085-2538[is]+OR+1523-1755[is]),"ISSN 0085-2538, 1523-1755；近 30 天 Crossref 42 篇、PubMed 34 篇；Crossref 自带摘要：否",j-0085-2538
一、临床证据：期刊、文献流与预印本,专科顶刊,风湿病年鉴 ARD,BMJ,en,INT,Crossref + PubMed,P0,直连,3,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0003-4967/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0003-4967[is]+OR+1468-2060[is]),"ISSN 0003-4967, 1468-2060；近 30 天 Crossref 23 篇、PubMed 23 篇；Crossref 自带摘要：否",j-0003-4967
一、临床证据：期刊、文献流与预印本,专科顶刊,柳叶刀-风湿病学,Elsevier BV,en,INT,Crossref + PubMed,P0,直连,2,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2665-9913/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2665-9913[is]),ISSN 2665-9913；近 30 天 Crossref 12 篇、PubMed 11 篇；Crossref 自带摘要：否,j-2665-9913
一、临床证据：期刊、文献流与预印本,专科顶刊,Blood,,en,INT,Crossref + PubMed,P0,直连,12,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0006-4971/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0006-4971[is]+OR+1528-0020[is]),"ISSN 0006-4971, 1528-0020；近 30 天 Crossref 65 篇、PubMed 66 篇；Crossref 自带摘要：是",j-0006-4971
一、临床证据：期刊、文献流与预印本,专科顶刊,柳叶刀-血液病学,Elsevier,en,INT,Crossref + PubMed,P0,直连,2,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2352-3026/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2352-3026[is]),ISSN 2352-3026；近 30 天 Crossref 18 篇、PubMed 15 篇；Crossref 自带摘要：否,j-2352-3026
一、临床证据：期刊、文献流与预印本,专科顶刊,JAMA 儿科学,American Medical Association,en,INT,Crossref + PubMed,P0,直连,7,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2168-6203/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2168-6203[is]),ISSN 2168-6203；近 30 天 Crossref 30 篇、PubMed 29 篇；Crossref 自带摘要：是,j-2168-6203
一、临床证据：期刊、文献流与预印本,专科顶刊,Pediatrics,,en,INT,Crossref + PubMed,P0,直连,18,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0031-4005/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0031-4005[is]+OR+1098-4275[is]),"ISSN 0031-4005, 1098-4275；近 30 天 Crossref 60 篇、PubMed 60 篇；Crossref 自带摘要：是",j-0031-4005
一、临床证据：期刊、文献流与预印本,专科顶刊,美国妇产科杂志 AJOG,Elsevier,en,INT,Crossref + PubMed,P0,直连,29,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0002-9378/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0002-9378[is]),ISSN 0002-9378；近 30 天 Crossref 55 篇、PubMed 51 篇；Crossref 自带摘要：否,j-0002-9378
一、临床证据：期刊、文献流与预印本,专科顶刊,柳叶刀-健康长寿,Elsevier,en,INT,Crossref + PubMed,P0,直连,5,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2666-7568/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2666-7568[is]),ISSN 2666-7568；近 30 天 Crossref 12 篇、PubMed 12 篇；Crossref 自带摘要：否,j-2666-7568
一、临床证据：期刊、文献流与预印本,专科顶刊,JAMA 外科学,American Medical Association,en,INT,Crossref + PubMed,P0,直连,10,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2168-6254/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2168-6254[is]),ISSN 2168-6254；近 30 天 Crossref 30 篇、PubMed 29 篇；Crossref 自带摘要：是,j-2168-6254
一、临床证据：期刊、文献流与预印本,专科顶刊,外科学年鉴,Ovid Technologies (Wolters Kluwer) - Lippincott Williams & Wilkins,en,INT,Crossref + PubMed,P0,直连,2,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0003-4932/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0003-4932[is]+OR+1528-1140[is]),"ISSN 0003-4932, 1528-1140；近 30 天 Crossref 33 篇、PubMed 33 篇；Crossref 自带摘要：否",j-0003-4932
一、临床证据：期刊、文献流与预印本,专科顶刊,麻醉学 Anesthesiology,,en,INT,Crossref + PubMed,P0,直连,4,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0003-3022/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0003-3022[is]+OR+1528-1175[is]),"ISSN 0003-3022, 1528-1175；近 30 天 Crossref 62 篇、PubMed 53 篇；Crossref 自带摘要：是",j-0003-3022
一、临床证据：期刊、文献流与预印本,专科顶刊,放射学 Radiology,,en,INT,Crossref + PubMed,P0,直连,8,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0033-8419/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0033-8419[is]+OR+1527-1315[is]),"ISSN 0033-8419, 1527-1315；近 30 天 Crossref 38 篇、PubMed 38 篇；Crossref 自带摘要：是",j-0033-8419
一、临床证据：期刊、文献流与预印本,专科顶刊,JAMA 皮肤病学,American Medical Association,en,INT,Crossref + PubMed,P0,直连,7,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2168-6068/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2168-6068[is]),ISSN 2168-6068；近 30 天 Crossref 25 篇、PubMed 24 篇；Crossref 自带摘要：是,j-2168-6068
一、临床证据：期刊、文献流与预印本,专科顶刊,眼科学 Ophthalmology,,en,INT,Crossref + PubMed,P0,直连,11,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0161-6420/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0161-6420[is]+OR+1549-4713[is]),"ISSN 0161-6420, 1549-4713；近 30 天 Crossref 45 篇、PubMed 37 篇；Crossref 自带摘要：否",j-0161-6420
一、临床证据：期刊、文献流与预印本,专科顶刊,JAMA 眼科学,American Medical Association,en,INT,Crossref + PubMed,P0,直连,5,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2168-6165/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2168-6165[is]+OR+2168-6173[is]),"ISSN 2168-6165, 2168-6173；近 30 天 Crossref 24 篇、PubMed 23 篇；Crossref 自带摘要：是",j-2168-6165
七、科研与基金：方法学、科研诚信、基金与科学媒体,方法学与循证期刊,国际流行病学杂志 IJE,Oxford University Press,en,INT,Crossref + PubMed,P0,直连,10,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0300-5771/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0300-5771[is]+OR+1464-3685[is]),"ISSN 0300-5771, 1464-3685；近 30 天 Crossref 10 篇、PubMed 41 篇；Crossref 自带摘要：是",j-0300-5771
七、科研与基金：方法学、科研诚信、基金与科学媒体,方法学与循证期刊,美国流行病学杂志 AJE,Oxford University Press,en,INT,Crossref + PubMed,P0,直连,4,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0002-9262/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0002-9262[is]+OR+0002-9262[is]+OR+1476-6256[is]),"ISSN 0002-9262, 0002-9262, 1476-6256；近 30 天 Crossref 27 篇、PubMed 27 篇；Crossref 自带摘要：是",j-0002-9262
七、科研与基金：方法学、科研诚信、基金与科学媒体,方法学与循证期刊,Epidemiology,,en,INT,Crossref + PubMed,P0,直连,2,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/1044-3983/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(1044-3983[is]+OR+1531-5487[is]),"ISSN 1044-3983, 1531-5487；近 30 天 Crossref 6 篇、PubMed 5 篇；Crossref 自带摘要：是",j-1044-3983
